subject	animal	aquatic	a	boat	f	fruitveg	s	tool	vehicle	verb	liv	fas	non
U9	31	22	9	17	18	29	15	NA	16	32	51	33	16
U8	32	17	20	12	28	21	26	21	16	17	38	54	37
U5	24	13	19	9	27	18	27	11	10	22	31	54	21
U4	19	16	11	12	19	25	20	17	15	20	41	39	32
U7	20	8	13	8	16	25	16	13	6	25	33	32	19
U6	23	14	12	13	14	21	24	19	10	17	35	38	29
U3	31	15	21	10	27	21	22	18	14	17	36	49	32
U2	23	14	16	8	11	22	12	19	14	22	36	23	33
U19	22	9	14	5	17	23	20	8	11	21	32	37	19
U11	20	19	19	13	NA	23	18	20	14	26	42	18	34
U28	17	8	18	2	15	16	11	11	11	12	24	26	22
O9	23	14	11	10	10	22	9	12	14	22	36	19	26
O8	14	10	12	6	19	18	16	10	13	23	28	35	23
O7	14	6	4	7	8	11	11	12	9	20	17	19	21
O6	14	5	13	5	15	15	13	5	6	17	20	28	11
O5	17	14	13	10	13	27	14	18	19	23	41	27	37
O4	28	19	10	9	14	30	18	10	17	16	49	32	27
O3	21	16	12	13	12	20	18	15	17	23	36	30	32
O2	16	6	4	6	5	19	7	9	8	8	25	12	17
O1	19	11	16	7	17	18	22	8	10	17	29	39	18
U16	19	13	13	10	14	17	21	6	10	18	30	35	16
U12	18	14	14	16	24	22	22	14	16	16	36	46	30
U15	15	4	9	7	12	18	13	7	9	10	22	25	16
O26	14	13	16	9	16	20	19	15	12	17	33	35	27
O27	14	12	11	11	13	16	12	9	10	17	28	25	19
O25	22	16	20	11	19	21	19	18	15	22	37	38	33
O22	15	8	12	7	23	15	22	10	9	10	23	45	19
O23	19	10	13	8	5	16	20	19	10	15	26	25	29
O20	20	8	10	2	13	16	16	14	11	20	24	29	25
O21	9	7	2	4	7	10	4	7	5	3	17	11	12
U17	19	15	12	6	17	16	17	10	12	20	31	34	22
U30	7	6	5	3	9	15	8	6	8	5	21	17	14
U14	27	12	16	10	11	24	17	19	16	20	36	28	35
U10	23	19	14	10	19	22	14	20	19	22	41	33	39
U31	16	11	6	5	14	19	13	5	10	6	30	27	15
U24	12	11	10	7	16	13	12	12	9	17	24	28	21
U25	20	10	11	4	11	19	11	12	6	11	29	22	18
U26	20	12	12	11	NA	23	17	21	6	25	35	17	27
U27	23	22	14	10	16	17	18	21	14	29	39	34	35
U20	22	15	8	10	19	NA	22	13	12	23	15	41	25
U21	22	10	11	9	NA	19	20	10	14	20	29	20	24
U22	11	10	5	4	10	12	19	9	8	13	22	29	17
U23	15	7	7	8	7	19	6	11	10	14	26	13	21
U18	32	20	17	14	24	29	28	19	16	30	49	52	35
U29	24	12	12	6	18	21	18	12	12	13	33	36	24
O16	19	10	9	8	16	20	13	12	11	19	30	29	23
O15	9	1	5	0	10	12	8	2	7	0	13	18	9
O14	8	8	8	2	8	15	8	12	4	9	23	16	16
O13	14	11	12	7	15	15	NA	9	8	19	26	15	17
O12	26	9	10	13	17	23	16	17	14	21	32	33	31
O11	25	19	18	9	12	27	18	10	14	30	46	30	24
O10	21	11	19	8	24	20	25	12	10	23	31	49	22
O31	17	10	11	10	16	17	10	16	16	20	27	26	32
O30	14	10	3	6	17	20	11	4	8	13	30	28	12
U13	27	15	16	12	26	30	20	14	16	31	45	46	30
O35	15	13	13	7	10	21	14	12	8	13	34	24	20
O34	17	10	7	6	12	19	13	14	9	6	29	25	23
O19	5	6	13	5	21	5	16	10	10	10	11	37	20
O36	18	9	15	9	11	24	17	15	11	14	33	28	26
