all,AO1.L
amish,EY1.M.IH0.SH
forget,F.AO2.R.G.EH1.T
atmore,AE1.T.M.OW0.ER0
albondigas,AE0.L.B.OW1.N.D.IH0.G.AH0.S
ale,EY1.L
amplifier,AE1.M.P.L.AH0.F.AY2.ER0
ala,AH1.L.AH0
angel_tree,EY1.N.JH.AH0.L.T.R.IY1
avalanche,AE1.V.AH0.L.AE2.N.CH
asian,EY1.ZH.AH0.N
aides,EY1.D.Z
aristocrat,ER0.IH1.S.T.AH0.K.R.AE2.T
alt,AA1.L.T
abundant,AH0.B.AH1.N.D.AH0.N.T
ammonia,AH0.M.OW1.N.Y.AH0
afrom,AH0.F.R.AA1.M
anticipation,AE2.N.T.IH2.S.AH0.P.EY1.SH.AH0.N
amante,AA0.M.AA1.N.T.IY0
effort,EH1.F.ER0.T
arid,EH1.R.AH0.D
arrogance,EH1.R.AH0.G.AH0.N.S
accounting,AH0.K.AW1.N.IH0.NG
amaze,AH0.M.EY1.Z
all_around,AO1.L.ER0.AW1.N
anti-communist,AE1.N.T.IY0.K.AA1.M.Y.UW0.N.IH0.S.T
adjudicate,AH0.JH.UW1.D.IH0.K.EY2.T
atlas,AE1.T.L.AH0.S
Atlanta,AE0.T.L.AE1.N.T.AH0
adapt,AH0.D.AE1.P.T
annoy,AH0.N.OY1
allergy,AE1.L.ER0.JH.IY0
ferret,F.EH1.R.AH0.T
advantage,AE2.D.V.AE1.N.IH0.JH
lima_bean,L.IY1.M.AH0.B.IY1.N
amorphous,AH0.M.AO1.R.F.AH0.S
airshock,EH1.R.SH.AA0.K
apperceive,AE0.P.ER0.S.IY1.V
accuse,AH0.K.Y.UW1.Z
artwork,AA1.R.T.W.ER2.K
awful,AO1.F.AH0.L
affect,AH0.F.EH1.K.T
authentic,AO2.TH.EH1.N.IH0.K
arrange,ER0.EY1.N.JH
amarelle,AE1.M.AH0.R.EH0.L
alma,AO1.L.M.AH0
asparagus,AH0.S.P.EH1.R.AH0.G.AH0.S
apartheid,AH0.P.AA1.R.T.AY2.T
aster,AE1.S.T.ER0
applicable,AE1.P.L.AH0.K.AH0.B.AH0.L
anxious,AE1.NG.K.SH.AH0.S
adjust,AH0.JH.AH1.S.T
