fawn,F.AO1.N
forgone,F.AO0.R.G.AA1.N
forget,F.AO0.R.G.EH1.T
founder,F.AW1.N.D.ER0
fitch,F.IH1.CH
forbidden,F.ER0.R.B.IH1.D.AH0.N
fulcrum,F.UH1.L.K.R.AH0.M
focus,F.OW1.K.IH0.S
felt,F.EH1.L.T
factory,F.AE1.K.T.ER0.IY0
four,F.AO1.R
follow,F.AA1.L.OW0
foe,F.OW1
flask,F.L.AE1.S.K
flash,F.L.AE1.SH
father,F.AA1.DH.ER0
freewheeling,F.R.IY1.HH.W.IY2.L.IH0.NG
farber,F.AA1.R.B.ER0
finally,F.AY1.N.AH0.L.IY0
foster,F.AA1.S.T.ER0
fatal,F.EY1.T.AH0.L
friendly,F.R.EH1.N.L.IY0
fax,F.AE1.K.S
fond,F.AA1.N.D
far,F.AA1.R
fat,F.AE1.T
figment,F.IH1.G.M.IH0.N.T
felicity,F.IH0.L.IH1.S.AH0.T.IY0
fan,F.AE1.N
figs,F.IH1.G.Z
fall,F.AA1.L
fab,F.AE1.B
forgiving,F.AO0.R.G.IH1.V.IH0.NG
fireplace,F.AY1.ER0.P.L.EY2.S
feeble,F.IY1.B.AH0.L
fad,F.AE1.D
fondly,F.AA1.N.D.L.IY0
fragile,F.R.AE1.JH.AH0.L
formica,F.ER0.M.AY1.K.AH0
fink,F.IH1.NG.K
fluidometer,F.L.UW0.IH0.D.AA1.M.AH0.T.ER0
supine,S.UW0.P.AY1.N
french_fries,F.R.EH1.N.CH.F.R.AY1.Z
facsimile,F.AE0.K.S.IH1.M.AH0.L.IY0
freestyling,F.R.IY1.S.T.AY2.L.IH0.NG
farrel,F.EH1.R.AH0.L
fritter,F.R.IH1.T.ER0
flick,F.L.IH1.K
fect,F.EH1.K.T
force,F.AO1.R.S
fence,F.EH1.N.S
franc,F.R.AE1.NG.K
sign,S.AY1.N
fold,F.OW1.L.D
fabulous,F.AE1.B.Y.AH0.L.AH0.S
frankfurter,F.R.AE1.NG.K.F.ER0.T.ER0
further,F.ER1.DH.ER0
feck,F.EH1.K
folk,F.OW1.K
font,F.AA1.N.T
fine,F.AY1.N
fingers,F.IH1.NG.G.ER0.Z
fillet,F.AH0.L.EY1
fossil,F.AA1.S.AH0.L
flowing,F.L.OW1.IH0.NG
fetish,F.EH1.T.IH0.SH
falling,F.AA1.L.IH0.NG
Francis,F.R.AE1.N.S.IH0.S
freaky,F.R.IY1.K.IY0
full,F.UH1.L
ferocious,F.ER0.OW1.SH.AH0.S
festive,F.EH1.S.T.IH0.V
fugue,F.Y.UW1.G
feisty,F.AY1.S.T.IY0
french,F.R.EH1.N.CH
fugitive,F.Y.UW1.JH.IH0.T.IH0.V
fun,F.AH1.N
focused,F.OW1.K.IH0.S.T
fuschia,F.Y.UW1.SH.AH0
ferry,F.EH1.R.IY0
fred,F.R.EH1.D
fifteen,F.IH1.F.T.IY1.N
floofy,F.L.UW1.F.IY0
fratricide,F.R.AE1.T.R.AH0.S.AY2.D
free_press,F.R.IY1.P.R.EH1.S
floorplan,F.L.OW1.R.P.L.AE0.N
franciscan,F.R.AE0.N.S.IH1.S.K.AH0.N
fulfill,F.UH0.L.F.IH1.L
fantastic,F.AE0.N.T.AE1.S.T.IH0.K
family,F.AE1.M.L.IY0
Furasol,F.Y.ER1.AH0.S.AO2.L
feelings,F.IY1.L.IH0.NG.Z
freefloating,F.R.IY1.F.L.OW2.T.IH0.NG
fake,F.EY1.K
fed,F.EH1.D
fee,F.IY1
from,F.ER0.M
faint,F.EY1.N.T
frog,F.R.AA1.G
france,F.R.AE1.N.S
figurative,F.IH1.G.Y.ER0.AH0.T.IH0.V
few,F.Y.UW1
filmy,F.IH1.L.M.IY0
fragrance,F.R.EY1.G.R.AH0.N.S
fush,F.AH1.SH
furor,F.Y.UH1.R.AO0.R
flat,F.L.AE1.T
flaw,F.L.AO1
flap,F.L.AE1.P
fiend,F.IY1.N.D
flay,F.L.EY1
flax,F.L.AE1.K.S
futon,F.UW1.T.AA0.N
fusassee,F.Y.UW0.S.AE1.S.IY0
fuel,F.Y.UW1.L
flag,F.L.AE1.G
frenzy,F.R.EH1.N.Z.IY0
flan,F.L.AE1.N
fly,F.L.AY1
fleece,F.L.IY1.S
