alfalfa_sprouts,AE2.L.F.AE1.L.F.AH0.S.P.R.AW1.T.S
rabbit,R.AE1.B.IH0.T
brussels_sprout,B.R.AH1.S.AH0.L.Z.S.P.R.AW1.T
cabbages,K.AE1.B.IH0.JH.IH0.Z
pepinos,P.EH0.P.IY1.N.OW0.S
red_lettuce,R.EH1.D.L.EH1.T.AH0.S
guava,G.W.AA1.V.AH0
milk,M.IH1.L.K
honeydew_melon,HH.AH1.N.IY0.D.UW2.M.EH1.L.AH0.N
blueberries,B.L.UW1.B.EH2.R.IY0.Z
grape,G.R.EY1.P
peanut,P.IY1.N.AH2.T
banana_squash,B.AH0.N.AE1.N.AH0.S.K.W.AA1.SH
cranberry_beans,K.R.AE1.N.B.EH2.R.IY0.B.IY1.N.Z
yellow_onion,Y.EH1.L.OW0.AH1.N.Y.AH0.N
irish_potatoes,AY1.R.IH0.SH.P.AH0.T.EY1.T.OW0.Z
english_pea,IH1.NG.L.IH0.SH.P.IY1
turnips,T.ER1.N.AH0.P.S
lima_bean,L.IY1.M.AH0.B.IY1.N
jalapeno_pepper,JH.AE2.L.AH0.P.IY1.N.OW0.P.EH1.P.ER0
figs,F.IH1.G.Z
kidney_bean,K.IH1.D.N.IY0.B.IY1.N
plantain,P.L.AE1.N.T.AH0.N
red_carrots,R.EH1.D.K.EH1.R.AH0.T.S
limes,L.AY1.M.Z
asparagus,AH0.S.P.EH1.R.AH0.G.AH0.S
round_onion,R.AW1.N.D.AH1.N.Y.AH0.N
crowder_peas,K.R.AW1.D.ER0.P.IY1.Z
shell_peas,SH.EH1.L.P.IY1.Z
white_potatoes,HH.W.AY1.T.P.AH0.T.EY1.T.OW0.Z
red_bean,R.EH1.D.B.IY1.N
lavender,L.AE1.V.AH0.N.D.ER0
millet,M.IH1.L.AH0.T
cherry_tomatoes,CH.EH1.R.IY0.T.AH0.M.AA1.T.OW0.Z
red_onion,R.EH1.D.AH1.N.Y.AH0.N
sauerkraut,S.AW1.ER0.K.R.AW2.T
string_bean,S.T.R.IH1.NG.B.IY1.N
purple_pea,P.ER1.P.AH0.L.P.IY1
chickpeas,CH.IH1.K.P.IY0.Z
lima_beans,L.IY1.M.AH0.B.IY1.N.Z
croutons,K.R.UW1.T.AA0.N.Z
turnip_green,T.ER1.N.AH0.P.G.R.IY1.N
baked_potatoes,B.EY1.K.T.P.AH0.T.EY1.T.OW0.Z
yellow_bean,Y.EH1.L.OW0.B.IY1.N
broccolini,B.R.AA0.K.OW0.L.IY1.N.IY0
raspberries,R.AE1.Z.B.EH2.R.IY0.Z
orange_pepper,AO1.R.IH0.N.JH.P.EH1.P.ER0
watermelons,W.AO1.T.ER0.M.EH2.L.AH0.N.Z
jams,JH.AE1.M.Z
pea_beans,P.IY1.B.IY1.N.Z
cucumbers,K.Y.UW1.K.AH0.M.ER0.Z
popcorn,P.AA1.P.K.AO2.R.N
apple,AE1.P.AH0.L
green_peas,G.R.IY1.N.P.IY1.Z
radish,R.AE1.D.IH0.SH
peapods,P.IY1.P.AA1.D.Z
soybean,S.OY1.B.IY2.N
white_beans,HH.W.AY1.T.B.IY1.N.Z
lima,L.IY1.M.AH0
lime,L.AY1.M
rutabaga,R.UW1.T.AH0.B.EY0.G.AH0
pears,P.EH1.R.Z
grapes,G.R.EY1.P.S
snap_peas,S.N.AE1.P.P.IY1.Z
navy_beans,N.EY1.V.IY0.B.IY1.N.Z
blueberry,B.L.UW1.B.EH2.R.IY0
tangerine,T.AE2.N.JH.ER0.IY1.N
scallions,S.K.AE1.L.Y.AH0.N.Z
baked_bean,B.EY1.K.T.B.IY1.N
pecan,P.IY1.K.AA2.N
lemons,L.EH1.M.AH0.N.Z
olive,AA1.L.IH0.V
gumbo_mix,G.AH1.M.B.OW0.M.IH1.K.S
gherkin,G.ER1.K.IH0.N
black_beans,B.L.AE1.K.B.IY1.N.Z
salad,S.AE1.L.AH0.D
zucchini_squash,Z.UW0.K.IY1.N.IY0.S.K.W.AA1.SH
limas,L.IY1.M.AH0.Z
white_potato,HH.W.AY1.T.P.AH0.T.EY1.T.OW2
turnip_greens,T.ER1.N.AH0.P.G.R.IY1.N.Z
wheatgrass,HH.W.IY1.T.G.R.AE0.S
pickle,P.IH1.K.AH0.L
plum,P.L.AH1.M
chayote,CH.AH0.Y.OW1.T.EH0
pole_bean,P.OW1.L.B.IY1.N
carrot,K.EH1.R.AH0.T
sugarcane,SH.UH1.G.ER0.K.EY2.N
onions,AH1.N.Y.AH0.N.Z
rape,R.EY1.P
collards,K.AA1.L.ER0.D.Z
acorn_squash,EY1.K.AO0.R.N.S.K.W.AA1.SH
rhubarb,R.UW1.B.AA2.R.B
rye,R.AY1
nuts,N.AH1.T.S
great_northern_beans,G.R.EY1.T.N.AO1.R.DH.ER0.N.B.IY1.N.Z
leaf_lettuce,L.IY1.F.L.EH1.T.AH0.S
parsnips,P.AA1.R.S.N.IH0.P.S
orange_peppers,AO1.R.IH0.N.JH.P.EH1.P.ER0.Z
yukon_gold_potato,Y.UW1.K.AA2.N.G.OW1.L.D.P.AH0.T.EY1.T.OW2
kohlrabi,K.AO2.L.R.AA1.B.IY0
kumquats,K.AH1.M.K.W.AA0.T.S
peking_cabbage,P.IY1.K.IH1.NG.K.AE1.B.IH0.JH
trees,T.R.IY1.Z
lady_peas,L.EY1.D.IY0.P.IY1.Z
cabbage,K.AE1.B.IH0.JH
tomato,T.AH0.M.EY1.T.OW0
mango,M.AE1.NG.G.OW0
green,G.R.IY1.N
egg,EH1.G
endives,IH0.N.D.AY1.V.Z
eggplants,EH1.G.P.L.AE2.N.T.S
sprout,S.P.R.AW1.T
chickpea,CH.IH1.K.P.IY0
purple_peas,P.ER1.P.AH0.L.P.IY1.Z
artichoke,AA1.R.T.IH0.CH.OW2.K
chipotle_peppers,CH.IY0.P.OW1.T.L.EY0.P.EH1.P.ER0.Z.P.EH1.P.ER0.Z
iceberg_lettuce,AY1.S.B.ER0.G.L.EH1.T.AH0.S
green_beans,G.R.IY1.N.B.IY1.N.Z
kidney_beans,K.IH1.D.N.IY0.B.IY1.N.Z
zuchini,Z.UW0.K.IY1.N.IY0
avocado,AE2.V.AH0.K.AA1.D.OW0
yams,Y.AE1.M.Z
italian_squash,IH0.T.AE1.L.Y.AH0.N.S.K.W.AA1.SH
fig,F.IH1.G
orange,AO1.R.IH0.N.JH
peanuts,P.IY1.N.AH2.T.S
pecans,P.AH0.K.AA1.N.Z
blackberries,B.L.AE1.K.B.EH2.R.IY0.Z
food,F.UW1.D
oranges,AO1.R.IH0.N.JH.IH0.Z
giraffe,JH.ER0.AE1.F
prunes,P.R.UW1.N.Z
bean_sprout,B.IY1.N.S.P.R.AW1.T
thyme,TH.AY1.M
