slope,S.L.OW1.P
since,S.IH1.N.S
skeleton,S.K.EH1.L.AH0.T.AH0.N
skip,S.K.IH1.P
skis,S.K.IY1.Z
sleek,S.L.IY1.K
sleet,S.L.IY1.T
sunk,S.AH1.NG.K
skate,S.K.EY1.T
sleep,S.L.IY1.P
skin,S.K.IH1.N
saved,S.EY1.V.D
shamble,SH.AE1.M.B.AH0.L
scowling,S.K.AW1.L.IH0.NG
seventy-seven,S.EH1.V.AH0.N.IY0.S.EH1.V.AH0.N
grape,G.R.EY1.P
spew,S.P.Y.UW1
stinky,S.T.IH1.NG.K.IY0
shanghai,SH.AE1.NG.HH.AY2
scold,S.K.OW1.L.D
send,S.EH1.N.D
swat,S.W.AA1.T
swoop,S.W.UW1.P
solicit,S.AH0.L.IH1.S.IH0.T
stable,S.T.EY1.B.AH0.L
sens,S.EH1.N.S.IH0.Z
slowest,S.L.OW1.AH0.S.T
sway,S.W.EY1
sent,S.EH1.N.T
sinking,S.IH1.NG.K.IH0.NG
string,S.T.R.IH1.NG
sitting,S.IH1.T.IH0.NG
soot,S.UH1.T
superfluous,S.UW1.P.ER0.F.L.UW0.AH2.S
sufficient,S.AH0.F.IH1.SH.AH0.N.T
screwdriver,S.K.R.UW1.D.R.AY2.V.ER0
song,S.AO1.NG
sloppy,S.L.AA1.P.IY0
spoon,S.P.UW1.N
sappy,S.AE1.P.IY0
specific,S.P.IH0.S.IH1.F.IH0.K
salmonella,S.AE2.L.M.AH0.N.EH1.L.AH0
soften,S.AO1.F.AH0.N
squirt,S.K.W.ER1.T
sly,S.L.AY1
snide,S.N.AY1.D
steve,S.T.IY1.V
school,S.K.UW1.L
sighed,S.AY1.D
shoelace,SH.UW1.L.EY2.S
snuggle,S.N.AH1.G.AH0.L
shock,SH.AA1.K
stave,S.T.EY1.V
satchel,S.AE1.CH.AH0.L
stranded,S.T.R.AE1.N.D.IH0.D
supine,S.UW1.P.AY2.N
samurai,S.AE1.M.ER0.AY2
sand,S.AE1.N.D
sane,S.EY1.N
saxophone,S.AE1.K.S.AH0.F.OW2.N
subway,S.AH1.B.W.EY2
sedation,S.AH0.D.EY1.SH.AH0.N
small,S.M.AO1.L
study,S.T.AH1.D.IY0
sedentary,S.EH1.D.AH0.N.T.EH2.R.IY0
Seattle,S.IY0.AE1.T.AH0.L
sank,S.AE1.NG.K
sewage,S.UW1.IH0.JH
shoe,SH.UW1
shave,SH.EY1.V
sibilate,S.IH1.B.AH0.L.AH0.T
simile,S.IH1.M.AH0.L.IY0
seasoning,S.IY1.Z.AH0.N.IH0.NG
sigh,S.AY1
sand_crab,S.AE1.N.D.K.R.AE1.B
sensation,S.EH2.N.S.EY1.SH.AH0.N
sabbath,S.AE1.B.AH0.TH
sign,S.AY1.N
sinus,S.AY1.N.AH0.S
strung,S.T.R.AH1.NG
second,S.EH1.K.AH0.N
street,S.T.R.IY1.T
surface,S.ER1.F.AH0.S
frankfurter,F.R.AE1.NG.K.F.ER0.T.ER0
sonic_boom,S.AA1.N.IH0.K.B.UW1.M
stole,S.T.OW1.L
sterile,S.T.EH1.R.AH0.L
sordid,S.AO1.R.D.AH0.D
sabertooth,S.EH1.B.ER0.T.UW1.TH
sacral,S.EH1.K.R.AH0.L
stood,S.T.UH1.D
sauerkraut,S.AW1.ER0.K.R.AW2.T
skeptic,S.K.EH1.P.T.IH0.K
sun,S.AH1.N
saw,S.AO1
sangria,S.AE0.NG.G.R.IY1.AH0
stunning,S.T.AH1.N.IH0.NG
sung,S.AH1.NG
stoop,S.T.UW1.P
switch,S.W.IH1.CH
sequential,S.AH0.K.W.EH1.N.CH.AH0.L
secant,S.IY1.K.AH0.N.T
succinct,S.AH0.K.S.IH1.NG.K.T
semafore,S.IH1.M.AH0.F.OW0.R
scallops,S.K.AE1.L.AH0.P.S
staff,S.T.AE1.F
succumb,S.AH0.K.AH1.M
susanna,S.UW0.Z.AE1.N.AH0
sextuplet,S.EH2.K.S.T.AH1.P.L.IH0.T
satisfy,S.AE1.T.IH0.S.F.AY2
